FA,Codigo,ORGAO ORCAMENTARIO,FONTE,EXERCICIO FINANCEIRO,Receita
MARINHA,52931,Fundo Naval,LDO-2020,2020,897901719
MARINHA,52932,Fundo de Desenvolvimento do Ensino Profissional Maritimo,LDO-2020,2020,232781058
MARINHA,52233,Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL,LDO-2020,2020,0
DEFESA,52000,Ministerio da Defesa,LDO-2019,2019,12774483153
DEFESA,52101,Ministerio da Defesa - Administracao Direta,LDO-2019,2019,2499604522
AERONAUTICA,52111,Comando da Aeronautica,LDO-2019,2019,1157511151
EXERCITO,52121,Comando do Exercito,LDO-2019,2019,61376567
MARINHA,52131,Comando da Marinha,LDO-2019,2019,2179989531
AERONAUTICA,52211,Caixa de Financiamento Imobiliario da Aeronautica,LDO-2019,2019,7709236
EXERCITO,52221,Industria de Material Belico do Brasil IMBEL,LDO-2019,2019,83868446
EXERCITO,52222,Fundacao Osorio,LDO-2019,2019,136793
MARINHA,52232,Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM,LDO-2019,2019,39240000
DEFESA,52901,Fundo do Ministerio da Defesa,LDO-2019,2019,3196443
DEFESA,52902,Fundo de Administracao do Hospital das Forcas Armadas,LDO-2019,2019,13815390
DEFESA,52903,Fundo do Servico Militar,LDO-2019,2019,9199182
AERONAUTICA,52911,Fundo Aeronautico,LDO-2019,2019,3790389369
EXERCITO,52921,Fundo do Exercito,LDO-2019,2019,1861156358
MARINHA,52931,Fundo Naval,LDO-2019,2019,826021682
MARINHA,52932,Fundo de Desenvolvimento do Ensino Profissional Maritimo,LDO-2019,2019,241268483
MARINHA,52233,Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL,LDO-2019,2019,0
DEFESA,52000,Ministerio da Defesa,LDO-2018,2018,11537954042
DEFESA,52101,Ministerio da Defesa - Administracao Direta,LDO-2018,2018,2370410670
AERONAUTICA,52111,Comando da Aeronautica,LDO-2018,2018,1050133500
EXERCITO,52121,Comando do Exercito,LDO-2018,2018,106762476
MARINHA,52131,Comando da Marinha,LDO-2018,2018,1809845406
