Codigo,EXERCICIO FINANCEIRO,1-Pessoal e Encargos Sociais,2-Juros e Encargos da Divida,3-Outras Despesas Correntes,4-Investimentos,5-Inversoes Financeiras,6-Amortizacao da Divida,7-Reserva de Regime Proprio da Previdencia Social RPPS,8-N/A,9-Reserva de Contingencia,Despesa,Despesa 2-9
52911,2020,0,0,2661665327,457741224,4540000,0,0,0,1422935438,4546881989,9093763978
52921,2020,0,0,2172820693,111590734,0,0,0,0,338278805,2622690232,5245380464
52931,2020,0,0,915473748,74872821,0,0,0,0,227254989,1217601558,2435203116
52932,2020,0,0,68224039,2315000,0,0,0,0,183389058,253928097,507856194
52133,2020,0,0,6430264,16217726,0,0,0,0,0,22647990,45295980
52233,2020,305444694,0,22686438,1879686,0,0,0,0,0,330010818,354576942
52101,2019,4359108717,0,485840210,663343519,945000,0,0,0,0,5509237446,6659366175
52111,2019,17549126520,362697208,2073925725,1716084259,95000,593752400,0,0,0,22295681112,27042235704
52121,2019,38157097166,0,3074427905,1434275649,0,0,0,0,4504518,42670305238,47183513310
52131,2019,20433736598,286266035,1649881648,1746660198,2900000000,1102730384,0,0,0,28119274863,35804813128
52211,2019,1478920,0,2833512,250000,0,0,0,0,4709236,9271668,17064416
52221,2019,123229435,0,108051221,13115518,0,0,0,0,0,244396174,365562913
52222,2019,16426520,0,6587442,1400000,0,0,0,0,0,24413962,32401404
52231,2019,0,0,0,0,0,0,0,0,0,0,0
52232,2019,2506902,4013204,9727867,85000,9000000,15753572,0,0,1025224,42111769,81716636
52901,2019,0,0,3146443,50000,0,0,0,0,0,3196443,6392886
52902,2019,172750186,0,95995192,6500000,0,0,0,0,0,275245378,377740570
52903,2019,0,0,7045205,2153977,0,0,0,0,0,9199182,18398364
52911,2019,0,0,2144535941,750715116,5230000,0,0,0,960114966,3860596023,7721192046
52921,2019,0,0,2484647566,123011691,0,0,0,0,144822321,2752481578,5504963156
52931,2019,0,0,1005088521,105802777,0,0,0,0,149805865,1260697163,2521394326
52932,2019,0,0,62891800,1258200,0,0,0,0,177118483,241268483,482536966
52133,2019,0,0,14941000,26305000,0,0,0,0,0,41246000,82492000
52233,2019,322166808,0,35522504,475000,0,0,0,0,0,358164312,394161816
52101,2018,90400026,0,626191526,791463828,10500000,0,0,0,0,1518555380,2946710734
52111,2018,17142240368,303544398,1905418818,1811552215,1000000,661207523,0,0,0,21824963322,26507686276
52121,2018,37409582163,0,3996323941,1518355118,0,0,0,0,0,42924261222,48438940281
52131,2018,19521485734,214325263,1841617174,2307636620,2500000000,888441583,0,0,0,27273506374,35025527014
52211,2018,1547598,0,3837972,250000,0,50000,0,0,6482139,12167709,22787820
52221,2018,93054741,0,114425989,5487305,0,0,0,0,17650606,230618641,368182541
52222,2018,14275601,0,6640513,500000,0,0,0,0,0,21416114,28556627
52231,2018,0,0,0,0,0,0,0,0,0,0,0
52232,2018,2664153,4568266,9369063,47733,1000000,15890826,0,0,7094832,40634873,78605593
52901,2018,0,0,2937407,83000,0,0,0,0,3478,3023885,6047770
52902,2018,184546122,0,67655651,7655896,0,0,0,0,0,259857669,335169216
52903,2018,0,0,6763700,836300,0,0,0,0,3091146,10691146,21382292
52911,2018,0,0,1851366319,725740389,5035700,0,0,0,841123107,3423265515,6846531030
52921,2018,0,0,1475566360,130647913,0,0,0,0,463398,1606677671,3213355342
52931,2018,0,0,448077856,155324393,0,0,0,0,160003183,763405432,1526810864
52932,2018,0,0,58790000,1210000,0,0,0,0,187270515,247270515,494541030
52133,2018,0,0,14610410,183860724,0,0,0,0,0,198471134,396942268
